Only x86_64 / Linux distributed in NPM package right now.
Trying globally installed anchor.
    Finished release [optimized] target(s) in 0.34s
Ledger location: .anchor/test-ledger
Log: .anchor/test-ledger/validator.log
Initializing...
thread 'main' panicked at cli/src/lib.rs:4309:48:
called `Option::unwrap()` on a `None` value
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
Waiting for fees to stabilize 1...
Waiting for fees to stabilize 2...
Connecting...
Identity: 6QeckaCUbewqP2NqjRwrvk6B38F93HAEp7DCH8unPTY1
Genesis Hash: CMEKF79MrXq5qf4EHvUniUoCoJncAfnsoB48GQXQeb7s
Version: 1.16.24
Shred Version: 54965
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:16 | Processed Slot: 34 | Confirmed Slot: 34 | Finalized Slot: 2 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 33 | ◎499.999835000
00:00:17 | Processed Slot: 34 | Confirmed Slot: 34 | Finalized Slot: 2 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 33 | ◎499.999835000
00:00:17 | Processed Slot: 35 | Confirmed Slot: 35 | Finalized Slot: 3 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 34 | ◎499.999830000
00:00:17 | Processed Slot: 35 | Confirmed Slot: 35 | Finalized Slot: 3 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 34 | ◎499.999830000
00:00:17 | Processed Slot: 36 | Confirmed Slot: 36 | Finalized Slot: 4 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 35 | ◎499.999825000
00:00:18 | Processed Slot: 36 | Confirmed Slot: 36 | Finalized Slot: 4 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 35 | ◎499.999825000
00:00:18 | Processed Slot: 37 | Confirmed Slot: 37 | Finalized Slot: 5 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 36 | ◎499.999820000
00:00:18 | Processed Slot: 37 | Confirmed Slot: 37 | Finalized Slot: 5 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 36 | ◎499.999820000
00:00:18 | Processed Slot: 38 | Confirmed Slot: 38 | Finalized Slot: 6 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 37 | ◎499.999815000
00:00:19 | Processed Slot: 39 | Confirmed Slot: 38 | Finalized Slot: 7 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 38 | ◎499.999815000
00:00:19 | Processed Slot: 39 | Confirmed Slot: 39 | Finalized Slot: 7 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 38 | ◎499.999810000
00:00:19 | Processed Slot: 40 | Confirmed Slot: 40 | Finalized Slot: 8 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 39 | ◎499.999805000
00:00:19 | Processed Slot: 40 | Confirmed Slot: 40 | Finalized Slot: 8 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 39 | ◎499.999805000
00:00:20 | Processed Slot: 41 | Confirmed Slot: 41 | Finalized Slot: 9 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 41 | ◎499.999802500
00:00:20 | Processed Slot: 41 | Confirmed Slot: 41 | Finalized Slot: 9 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 41 | ◎499.999802500
00:00:20 | Processed Slot: 42 | Confirmed Slot: 42 | Finalized Slot: 10 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 42 | ◎499.999797500
